+ONE% 歐恩伊超激光鑽白雙勢力組(超激光極效阻黑淡斑精華+超激光鑽白亮采精華液)	品妍整合行銷有限公司/				其刊登或宣播之廣告內容與原核准廣告內容不符	05 29 2013 12:00AM	網路	YAH00!奇摩購物中心、雅虎	未違規結案	
靓顏柔膚美白霜	龍翔生物科技股份有限公司/					05 31 2013 12:00AM	網路	Aqua Med	相關案件已處分	
荷麗美加CMS極地保濕修護霜	/				其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容宣稱誇大療效	05 14 2013 12:00AM	網路	奇摩	未違規結案	
清透淨油毛孔緊緻面膜	三吉美膚機構/潘麗鳳				廣告內容宣稱誇大療效	05 31 2013 12:00AM	網路	三吉美膚機構	未違規結案	
FISIO飛岫 伊姤碧養髮素	/				廣告違規	05 14 2013 12:00AM	網路	奇摩	未違規結案	
薰衣草控油舒緩皂	/				廣告內容宣稱誇大療效	05 15 2013 12:00AM	網路	奇摩	未違規結案	
羅勒精油(BASIL)等產品	美商多特瑞有限公司/				廣告違規	05 31 2013 12:00AM	網路	DOTERRA	未違規結案	
隱形馬甲拉提霜200mlX3瓶	采榮股份有限公司/張志標				廣告違規	04 17 2013 12:00AM	網路	L'AMOUR線上購物網	未違規結案	
HIMALAYA 喜瑪拉雅 滋潤乳霜蜂蜜沐浴乳	旖薇國際精品店/王玉霞					05 16 2013 12:00AM	網路	PCHOME ONLINE 商店街	輔導結案	
CORSICA 科皙佳 - 花漾水感亮顏乳液	錫城企業社/				傳播業者刊登或宣播未經核准之化粧品廣告	05 16 2013 12:00AM	網路	PCHOME ONLINE 商店街	未違規結案	
蜂膠青柚草本洗髮露	/				其刊登或宣播之廣告內容與原核准廣告內容不符	05 17 2013 12:00AM	網路	momo購物網	未違規結案	
毛孔潔淨氣泡面膜	澤寬貿易有限公司/許經禮				廣告違規	05 17 2013 12:00AM	網路	Yahoo!奇摩超級商城	未違規結案	
Dr.Douxi杏仁酸精華液30%	天璽生化科技股份有限公司/張廷宗				廣告違規其刊登或宣播之廣告內容與原核准廣告內容不符	01  8 2013 12:00AM	網路		未違規結案	
德國Bepanthen Wound-und Heilsalbe傷口修護藥膏	/李孟真				廣告內容宣稱誇大療效	01 15 2013 12:00AM	網路	YAHOO！奇摩拍賣網站	未違規結案	
醫聖_中藥面膜	no/呂和采		05 29 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01 27 2015 12:00AM	網路	露天拍賣	輔導結案	
專利纖體霜	謝庭甄/		04 28 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容宣稱療效	01 29 2015 12:00AM	網路	奇集集	未違規結案	
LED超炫口紅	維希美容團隊/		05 17 2015 12:00AM		廣告內容宣稱誇大療效	03  9 2015 12:00AM	網路	http://www.web66.com.tw/CW325/LED%E8%B6%85%E7%82%AB%E5%8F%	輔導結案	
蜂膠護唇膏～創造豐盈水亮的QQ雙唇	楓香林生活科技有限公司/		03 25 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03  9 2015 12:00AM	網路	http://www.web66.com.tw/CW157/%E8%9C%82%E8%86%A0%E8%AD%B7%	輔導結案	
Dr.pharm 水漾保濕全身去角質噴	謝佩馨/		05 11 2015 12:00AM	化粧品衛生管理條例第24條第1項	網路（網址:http：//www.web66.com.tw/CW422/Dr.%20pharm%20%e6%b0%b4%e6%bc%be%e4%bf%9d%e6%bf%95e5%85%a8%e8%ba%ab%e5%8e%bb%e8%a7%92%e8%b3%aa%e5%99%b4-N422902.html）刊登「Dr.pharm水漾保濕全身去角質噴霧」化粧品廣告	03  9 2015 12:00AM	網路	http://www.web66.com.tw/CW422/Dr.%20pharm%20%E6%B0%B4%E6%BC	未違規結案	
無齡妝前潤色精華	柏創科技有限公司/		07 28 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣核過期	03  9 2015 12:00AM	網路	http://www.web66.com.tw/CW972/%E7%84%A1%E9%BD%A1%E5%A6%9D	未違規結案	
防疤抗疤舒痕精華-摩洛哥阿甘優油術後護理精華油-COSDAN FLORA 寇斯得弗洛拉	科典醫藥生技股份有限公司/		04 24 2015 12:00AM	化粧品衛生管理條例第24條第2項	刊登未經核准之化粧品廣告	03  3 2015 12:00AM	網路	yahoo	未違規結案	
韓國必買2015保養品 保濕 修護 敏感肌專用 白透亮肌膚 亦比施天然蜂膠晶潤蒸氣霜/無化學成分	瀚加生活美學國際有限公司/		04 21 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	03  3 2015 12:00AM	網路	yahoo	未違規結案	
天然鍺負離子多功能皂	原本自然環保科技有限公司/		04  8 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	03  4 2015 12:00AM	網路	台灣黃頁	未違規結案	
夏洛特機活密碼-活絡精油	笙貿國際有限公司/		04 24 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	01  5 2015 12:00AM	網路	pc home 商店街	未違規結案	
kerastase卡詩-預防脫髮髮浴	渥可斯髮廊工作室/		05  1 2015 12:00AM		廣告違規	01 19 2015 12:00AM	網路	PC Home	輔導結案	
SUIS凱索尼酸全效保濕精華液	先進釋放科技股份有限公司/		04 23 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效廣告違規	03 11 2015 12:00AM	網路	先進釋放科技股份有限公司網站	未違規結案	
金采踹痘精華露	金采生物科技有限公司/		05 11 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 10 2015 12:00AM	網路	http://0227391748.com.tw/b22.html下	未違規結案	
蝸牛再生逆齡安瓶	采諾貿易公司/		11 16 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	03 10 2015 12:00AM	網路	http://www.janeella.com/product8-1.htm	未違規結案	
COSDAN寇斯得 紫草修護再生霜50ML	科典醫藥生技股份有限公司/			化粧品衛生管理條例第24條第2項	刊登未經核准之化粧品廣告	03 10 2015 12:00AM	網路		未違規結案	
理膚寶水溫泉水	台灣雷射美容藥粧館/		09 25 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03 11 2015 12:00AM	網路	台灣雷射美容藥粧館	相關案件已處分	
雅漾Avene舒護活泉水	台灣雷射美容藥粧館/		09 25 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03 11 2015 12:00AM	網路	台灣雷射美容藥粧館	相關案件已處分	
懶人享瘦貼瘦身貼脂肪貼	柯青凱/		03 17 2015 12:00AM		廣告內容誇大不實	10 31 2014 12:00AM	網路	露天拍賣	輔導結案	
泰國草本嫩紅素	謝易宸/		03 31 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	01 29 2015 12:00AM	網路	奇摩拍賣網站	未違規結案	
【CUTY 曼谷代購】泰國彩妝品牌Mistine 草莓滋潤護唇膏 現貨+預購	盧春燕/		04 13 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大及未申請廣告字號	01 29 2015 12:00AM	網路	奇摩拍賣網站	未違規結案	
【韓國MAYCOOP】純淨楓葉樹液賦活修護晚霜50ml(蘊含七種參類 修復再生肌膚) 萃取楓樹液 韓國人蔘精華 預購中	0975782075/		04 21 2015 12:00AM	化粧品衛生管理條例第24條第2項	傳播業者刊登或宣播未經核准之藥物廣告	03  5 2015 12:00AM	網路		未違規結案	
施巴-彈力除紋霜	樂而美有限公司/		03 30 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	01 19 2015 12:00AM	網路	PC Home線上購物	未違規結案	
倍優黑眼圈原液30ml	台灣雅聞生技股份有限公司/		05  1 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	01 19 2015 12:00AM	網路		未違規結案	
精萃修護霜	陳欣佑/		07 28 2015 12:00AM	化粧品衛生管理條例第24條第1項	宣播未經核准之廣告	01  5 2015 12:00AM	網路	pc home 商店街	未違規結案	
植物母細胞-防熱老化修護精華-防曬霜前使用	科典醫藥生技股份有限公司/			化粧品衛生管理條例第24條第2項	未申請廣告許可	03  9 2015 12:00AM	網路		未違規結案	
舒妃SOFEI 深層乳霜護髮霜（800ML）	旭佑生技醫藥有限公司/		03 13 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	10 20 2015 12:00AM	網路	http://www.etmall.com.tw/Pages/ProductDetail.aspx?StoreID=3&CategoryID=44299&ProductSKU=1424195&PHRef=search_resulePRod_Img_14_pic#	未違規結案	
SHILLS杏仁酸20%煥膚完美3件組	舒兒絲國際有限公司/柯名謙		07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容宣稱誇大療效	03 11 2015 12:00AM	網路	BBQUEEN女人購物網	未違規結案	
SHILLS杏仁酸去粉刺完美換膚組(精華液+粉刺刷)	舒兒絲國際有限公司/柯名謙		07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容宣稱誇大	03 12 2015 12:00AM	網路	BBQUEEN女人購物網	未違規結案	
SHILLS杏仁酸完美煥膚透潤亮采水凝膜3入	舒兒絲國際有限公司/柯名謙		07 22 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容誇大不實	03 11 2015 12:00AM	網路	BBQUEEN女人購物網	未違規結案	
SHILLS杏仁酸煥膚亮采面膜	舒兒絲國際有限公司/柯名謙		07 22 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容誇大不實	03 11 2015 12:00AM	網路	BBQUEE女人購物網	未違規結案	
SHILLS杏仁酸泡泡去粉刺棉球化粧水	舒兒絲國際有限公司/柯名謙		07 22 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容誇大不實	03 12 2015 12:00AM	網路	BBQUEEN女人購物網	未違規結案	
SHILLS TOP美胸緊實霜100ml	舒兒絲國際有限公司/柯名謙		07 22 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容誇大不實	03 11 2015 12:00AM	網路	BBQUEEN女人購物網	未違規結案	
全效煥膚明采極效精華	美商怡佳股份有限公司台灣分公司/陳國憫		11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	03  6 2015 12:00AM	網路	CLINIQUE倩碧官方網站	未違規結案	
男士沁涼亮眼按摩精華	美商怡佳股份有限公司台灣分公司/陳國憫		11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	03  6 2015 12:00AM	網路	CLINIQUE倩碧官方網站	未違規結案	
葉綠素[調理]洗髮精	會理化工有限公司/				廣告內容誇大不實	03 10 2015 12:00AM	網路		輔導結案	
青春緩齡晚霜(中乾性肌膚)	美商怡佳股份有限公司台灣分公司/陳國憫		11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	03  6 2015 12:00AM	網路	CLINIQUE倩碧官方網站	未違規結案	
青春緩齡日霜(中乾性肌膚)	美商怡佳股份有限公司台灣分公司/陳國憫		11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	03 16 2015 12:00AM	網路	CLINIQUE倩碧官方網站	未違規結案	
深層活化奇激光三效修護露	美商怡佳股份有限公司台灣分公司/陳國憫		11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	03  6 2015 12:00AM	網路	CLINIQUE倩碧官方網站	未違規結案	
LANEIGE蘭芝 舒芙蕾鑽采發燒組	愛茉莉太平洋股份有限公司/金鳳煥		07 30 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03 16 2015 12:00AM	網路	YAH00!奇摩購物中心	相關案件已處分	
時光精靈維他命C精華	金明國際股份有限公司/甘明士		07 28 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	01 28 2015 12:00AM	網路	queennet 購物網站	未違規結案	
髮利明 藍銅髮根滋養噴劑	華拓藥品有限公司/蕭愛貞		09 25 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01 28 2015 12:00AM	網路	台灣雷射美容藥妝館	相關案件已處分	
DEJ高效緊緻精華	台灣萊雅股份有限公司/施洛朗		07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03  4 2015 12:00AM	網路	Kiehl’s契爾氏官方台灣網站	未違規結案	
激光極淨白淡斑精華	台灣萊雅股份有限公司/施洛朗		07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03  4 2015 12:00AM	網路	Kiehl’s契爾氏官方台灣網站	未違規結案	
海洋深層水 薄荷150ml	台灣萊雅股份有限公司/施洛朗		08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 16 2015 12:00AM	網路	http://www.shuuemura.com.tw/shuuemura/_zh/_tw/skincare/concern/whitening.aspx	未違規結案	
漢萃高效精華QD 30ml	台灣萊雅股份有限公司/施洛朗		08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 16 2015 12:00AM	網路	植村秀台灣官方網站	未違規結案	
黃花雪蓮霜	順瑛堂生物科技製藥股份有限公司/王柏鶴		03 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	01 27 2015 12:00AM	網路	youtube網站	未違規結案	
黃花雪蓮霜	順瑛堂生物科技製藥股份有限公司/		03 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  1 2015 12:00AM	網路	youtube	未違規結案	
潤色隔離乳	莊典國際有限公司/		04 13 2015 12:00AM		無違規	03  5 2015 12:00AM	網路	台灣黃頁	輔導結案	
EGF再生修護精華液	寶淨環保科技股份有限公司/		05  7 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符其刊登或宣播之廣告內容與原核准廣告內容不符	03  5 2015 12:00AM	網路	台灣黃頁	未違規結案	
Ido醫朵AC-11晴淬亮白眼膠三瓶組	醫朵醫學有限公司/陸立宇 		04 20 2015 12:00AM		廣告違規	03 17 2015 12:00AM	網路	樂天	輔導結案	
Ido醫朵 AC-11激光瞬白清爽睛艷組	醫朵醫學有限公司/陸立宇		04 20 2015 12:00AM		廣告違規	03 17 2015 12:00AM	網路	樂天	輔導結案	
Ido醫朵AC-11肌活修復精露三瓶組 	醫朵醫學有限公司/陸立宇  		04 20 2015 12:00AM		廣告違規	03 17 2015 12:00AM	網路	樂天	輔導結案	
Ido醫朵AC-11美白淨斑精淬三瓶組 	醫朵醫學有限公司/陸立宇 		04 20 2015 12:00AM		廣告違規	03 17 2015 12:00AM	網路	樂天	輔導結案	
【Ido醫朵】AC-11極致抗皺賦活霜EX三瓶組	醫朵醫學有限公司/陸立宇		04 20 2015 12:00AM		廣告違規	03 17 2015 12:00AM	網路	樂天	輔導結案	
BLANCHE BLANCHE PLATINUM+EGF白金深層活化珍珠精華霜	邱佳惠 /無		05  5 2015 12:00AM		廣告內容誇大不實	03 19 2015 12:00AM	網路	YAH00!奇摩拍賣	輔導結案	
【Ido醫朵】AC-11修復液EX2 三瓶凍齡組	醫朵醫學有限公司/陸立宇		04 20 2015 12:00AM		廣告違規	03 17 2015 12:00AM	網路	樂天	輔導結案	
【Ido醫朵】AC-11修復眼霜EX2三瓶睛潤組 	醫朵醫學有限公司/陸立宇		04 20 2015 12:00AM		廣告違規	03 17 2015 12:00AM	網路	樂天	輔導結案	
天然草本舒緩霜 天然草本舒緩精油 	美妍企業有限公司/		07 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	03 17 2015 12:00AM	網路	http://www.lamel.com.tw/lamel_04_e.asp	未違規結案	
杏仁酸柔煥膚驅黑凍霜	德安堂參藥行/		04 14 2015 12:00AM		廣告內容宣稱誇大療效	03 17 2015 12:00AM	網路	德安堂參藥行網站	輔導結案	
十八味涼茶肌の救急面膜(1盒/5入)【清宮祕方】養顏美容、日本蠶絲★老闆娘推薦★	大衛網路商城/盧柏源		06  9 2015 12:00AM	化粧品衛生管理條例第24條第2項化粧品衛生管理條例第24條第1項	傳播業者刊登或宣播未經核准之廣告	03 19 2015 12:00AM	網路	奇摩超級商城	未違規結案	
Peptide 藍齡除皺系列	紅粧國際美容有限公司/		06  1 2015 12:00AM	化粧品衛生管理條例第24條第2項	刊登內容未申請廣告核定表	03 20 2015 12:00AM	網路	Lifeshow秀生活商家資訊網	未違規結案	
水自然私密潔淨噴霧	大紀元時報股份有限公司/		05 21 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03 23 2015 12:00AM	網路	大紀元	輔導結案	
無齡抗皺保濕精華	杏世紀生醫科技股份有限公司/		04 17 2015 12:00AM		無違規	03 23 2015 12:00AM	網路	DNA純醫美	未違規結案	
金碧雙效洗顏粉	蘭絲倩企業股份有限公司/		12 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=76&class=1&class2=1	未違規結案	
金碧去角質按摩霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=77&class=1&class2=1	未違規結案	
金碧保濕滋潤液	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=78&class=1&class2=1	未違規結案	
金碧隔離日霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=79&class=1&class2=1	未違規結案	
金碧營養晚霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=80&class=1&class2=1	未違規結案	
金碧離子洗面皂	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=81&class=1&class2=1	未違規結案	
超妃極緻純金潔膚液	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=180&class=1&class2=46	未違規結案	
超妃極緻純金去角質霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=181&class=1&class2=46	未違規結案	
「玫瑰手工皂」、「 四塊鮮奶皂禮盒」及「薏仁手工皂」	花精靈網路商店/		08  4 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 23 2015 12:00AM	網路	花精靈網路商店	未違規結案	
「蜂蜜左手香酵素皂」、「佛手柑乳香皂」及「左手香青黛清涼抗敏皂」	梨子手工皂坊/		04 17 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	03 23 2015 12:00AM	網路	梨子手工皂坊	未違規結案	
首創*專業級美體霜 魔塑S曲線纖體霜-200ml	心版圖文創事業股份有限公司/		07 27 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	03 23 2015 12:00AM	網路	yahoo	未違規結案	
「NEO-TEC妮傲絲翠 甘草酸舒緩活膚乳霜 50ml」	妮傲絲翠股份有限公司/林清川		05  5 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03 23 2015 12:00AM	網路	yahoo	相關案件已處分	
HANAKA 花戀肌 超緊顏隱形繃帶面膜	美合國際實業股份有限公司/		07 31 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	03 23 2015 12:00AM	網路	yahoo	未違規結案	
超妃極緻純金滋潤液	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=182&class=1&class2=46	未違規結案	
超妃極緻純金美膚霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=183&class=1&class2=46	未違規結案	
超妃極緻純金晚霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=184&class=1&class2=46	未違規結案	
純金離子潔膚液	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=83&class=1&class2=29	未違規結案	
純金離子去角質霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=84&class=1&class2=29	未違規結案	
純金離子滋潤液	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=85&class=1&class2=29	未違規結案	
純金離子日霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=86&class=1&class2=29	未違規結案	
純金離子晚霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=87&class=1&class2=29	未違規結案	
純金CoQ10ex 精華液	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=145&class=1&class2=42	未違規結案	
純金CoQ10ex 活膚霜	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=176&class=1&class2=42	未違規結案	
純金彩色口紅-5.6.7.8.	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=146&class=23&class2=23	未違規結案	
Sommn腳跟關節貼膜-給你北鼻般的嫩腳丫!!	田郁瑩/		04 24 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大且未申請化粧品廣告字號	03 23 2015 12:00AM	網路	露天拍賣	未違規結案	
純金彩色口紅-21.22.23.24.25.26.27	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=147&class=23&class2=23	未違規結案	
純金彩色口紅組	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=163&class=23&class2=23	未違規結案	
純金彩色腮紅	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=154&class=23&class2=23	未違規結案	
純金彩色粉底慕絲	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=164&class=23&class2=23	未違規結案	
純金彩色粉餅	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=155&class=23&class2=23	未違規結案	
純金彩色眼影	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=156&class=23&class2=23	未違規結案	
純金纖維睫毛膏	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=161&class=23&class2=23	未違規結案	
純金離子卸妝油	蘭絲倩企業股份有限公司/		03 27 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	01 19 2015 12:00AM	網路	http://www.ncnet.com.tw/html/product/show.php?id=162&class=23&class2=23	未違規結案	
娜迪亞護手霜	嘉馥生化有限公司/		05  5 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	03 26 2015 12:00AM	網路	嘉馥生化有限公司	未違規結案	
D+CELL 350 TRA I 皮膚調理滋養液	嘉馥生化有限公司/		05  5 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	03 26 2015 12:00AM	網路	嘉馥生化有限公司	未違規結案	
VC 微導美白眼部精華12ml	達爾膚生醫科技股份有限公司/		08  4 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	03 26 2015 12:00AM	網路	DR.WU達爾膚官網	未違規結案	
男士瞬效緊緻眼霜15ml	達爾膚生醫科技股份有限公司/		08  4 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03 26 2015 12:00AM	網路	DR.WU達爾膚官網	相關案件已處分	
LA FOCUS 蕾舒法克 119急救菁露 300ML 紅色-一般版 ♦ 樂荳城 ♦	凱蔓瑞國際有限公司/		05 20 2015 12:00AM		廣告內容宣稱誇大	03 27 2015 12:00AM	網路	YAH00!奇摩超級商城	輔導結案	
10.5高效撫紋眼部精華	台灣萊雅股份有限公司/		07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 20 2015 12:00AM	網路	Kiehl's(契爾氏)台灣官方網站	未違規結案	
瞬效毛孔隱形霜	台灣萊雅股份有限公司/施洛朗		07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 20 2015 12:00AM	網路	Kiehl's(契爾氏)台灣官方網站	未違規結案	
亞馬遜白泥淨緻毛孔面膜	台灣萊雅股份有限公司/施洛朗		07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 23 2015 12:00AM	網路	Kiehl's(契爾氏)台灣官方網站	未違規結案	
DEJ高效緊緻精華	台灣萊雅股份有限公司/施洛朗		07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03 20 2015 12:00AM	網路	Kiehl's(契爾氏)台灣官方網站	未違規結案	
