分類,標題,內容,附檔連結,發布日期
"醫療器材","假牙又不會蛀牙，使用上不需要注重清潔吧？","解答： 坊間對於假牙有個迷思，認為假牙不會蛀牙，所以不需要特別清潔。活動式假牙的材料大多以樹脂或金屬為主，其表面構造常有肉眼無法看到的細小孔洞或刮痕，容易殘留食物碎屑而導致細菌滋生，如果以一般市售牙膏(非專為清潔假牙用設計之不含研磨顆粒的假牙清潔膏)及牙刷進行清潔，可能會因為牙膏當中的細微粉末顆粒磨損假牙表面，而造成更多刮痕及孔洞，反而更容易附著食物碎屑與細菌。 正確的假牙清潔方式，應選用假牙專用軟毛刷，仔細將假牙以清水輕輕刷洗後，保存於清水中避免過度乾燥，也可詢問牙醫師，是否適合搭配使用假牙清潔劑(錠)，以去除其他無法清潔的汙垢。 食藥署建議依照醫師囑咐使用及清潔假牙，並使用經衛生福利部核准之假牙清潔劑(錠)，選購時認明產品之醫療器材許可證字號，使用前詳閱產品使用說明書並正確使用。 參考資料：藥物食品安全週報(第509期)http://www.fda.gov.tw/tc/PublishOtherEpaperContent.aspx?id=39&chk=22148988-db21-4232-b345-21c723322b4f&param=pn%3d1%26key1%3d%25e5%2581%2587%25e7%2589%2599","","12 22 2015"
"食品","網路流傳市售鮮奶含有抗生素、動物用藥等有害物質，請問是真的嗎？","解答： 網路、LINE流傳「市售鮮奶含有抗生素、動物用藥等有害物質」的訊息，飲用後會在身體裡殘留毒素？！ (1) 世界衛生組織指出，鮮奶可以提供鈣質、蛋白質、維生素A、維生素B1、維生素B12、鋅等豐富營養素，因此我國每日飲食指南建議攝取適量乳品。 (2) 食藥署及各縣市衛生局於104年度抽驗鮮奶產品70件，涵蓋市售常見品牌，檢驗動物用藥、抗生素、生菌數、大腸桿菌、大腸桿菌群等項目，檢驗結果全數合格。衛生單位將持續落實稽查抽驗，確保乳品衛生安全與品質。 (3) 食藥署提醒民眾，網路流傳訊息常未經證實，應抱持小心謹慎的態度，不要隨便輕易相信，也無須過度恐慌。挑選鮮奶產品時應注意產品包裝之品名、內容物、有效日期、保存期限、營養標示及製造廠商等，購買後儘早飲用完畢，未飲用完應妥善保存於7 ˚C以下，以確保乳品新鮮及食用安全。 參考資料：http://goo.gl/OvZrAS","","12 25 2015"
"藥品","朋友推薦安眠藥和酒一起服用，效果會更好，這是真的嗎？","解答： 傳聞安眠藥和酒一起服用，更容易入眠？！ 真相是酒精與藥物併用會產生交互作用，是很危險的用藥行為： (1) 安眠藥與酒精皆具有中樞神經鎮靜作用，故合併使用會有加成效果，導致嗜睡、記憶障礙、運動遲緩、警覺性減弱等情形加重，甚至曾出現過意識障礙、昏迷等較為嚴重的症狀(包括死亡)案例。 (2) 服藥後藥物於體內開始一連串代謝過程，而酒精亦會影響藥物代謝的反應，因此可能增加藥物毒性或影響藥物的效用。 (3) 一般認為酒精有幫助入睡的效果，但其實在身體代謝酒精之後，反而有中斷睡眠的反彈效用。 (4) 食藥署呼籲民眾服用任何藥物時，都不可以和酒精等飲料併用，且於飲酒後數小時內，酒精仍會持續於體內作用，故飲酒當下及飲酒前後皆不應使用藥物，以溫開水伴隨藥物服用才是最安全的用藥方式。 參考資料： 藥害救濟基金會 http://www.tdrf.org.tw/ch/05knows/kno_02_main.asp?bull_id=4609 食品藥物管理署「守護居家長者好眠-居服員手冊」http://consumer.fda.gov.tw/AntiPoison/Detail.aspx?nodeID=479&pid=9358","","12 29 2015"
"藥品","網路流傳校園流入毒品巧克力的訊息，請問是真的嗎？","解答： 網路近來流傳校園流入毒品巧克力的訊息，提醒家長留意青少年的校園生活及交友狀況，並教導避免誤食的觀念。 (1) 經查確實有類似的案例，將毒品包裝仿冒成坊間熱門的巧克力食品後，再行流通或販售。 (2) 毒品型態多樣化，除錠劑、膠囊、粉劑、液狀等傳統型態外，也可能透過包裝的手法，分裝拆解而偽裝成奶茶包、咖啡包、麥片或是製成巧克力、布丁、果凍、糖果等等，吸引許多涉世未深的青少年或兒童食用或是誤用，因而不知不覺身陷毒癮之中。 (3) 建議民眾及青少年不拿取、不食用來路不明的食品，食用前務必留意產品包裝是否有異(如：包裝長度較短、封口較不整齊、包裝上有重新熔封痕跡等)，並謹慎看清內含物後再食用；同時注意自己隨身的飲料食物，一旦離開視線後就不應食用。小心謹慎，避免毒害。 參考資料： 藥物食品安全週報491期http://goo.gl/hplr6U 媒體相關報導http://www.chinatimes.com/newspapers/20151109000351-260102","","12 29 2015"
"食品","隔夜茶喝了會致癌，是真的嗎？","解答： (1)在冰箱不普及的年代，當時民眾會將一大壺熱水煮開後加入茶葉沖泡，茶葉會持續泡在水裡很長一段時間，供當日飲用；如當日未飲用完，甚至會放置隔夜，此類方式泡的茶放置至隔夜就是坊間說的「隔夜茶」。 (2)隔夜茶因茶葉放置浸泡時間過久，致使茶葉裡的單寧酸持續釋出，容易造成飲用者胃部不 適；且在常溫下茶湯也容易孳生細菌，使得茶湯酸敗變味而引起腹瀉。惟目前未有研究 證實喝隔夜茶與致癌有關，提醒民眾應注意茶湯之保存環境，儘快飲用為宜。","","07 31 2015"
"食品","紙杯有區分冷熱使用嗎？","(1) 一般市售紙製餐具為達防水或防油的目的，會在內層塗上食用蠟或使用「塑膠淋膜」，其材質種類各異，耐熱性亦有差異，例如LDPE材質的淋膜耐熱溫度大約70℃~90℃，PP材質淋膜耐熱溫度大約100℃~140℃，所以根據耐熱溫度的不同，紙杯在使用上就需要區分冷熱來使用，避免耐熱度不足而導致塑膠淋膜溶解等狀況。 (2) 紙杯的每種材質都應該要符合「食品器具容器包裝衛生標準」的規定，消費者使用前應注意標示所提供的耐熱溫度及使用注意事項，詳細閱讀並正確使用。如果有問題，可以向該產品提供者或國內負責廠商洽詢。參考資料：塑膠類食品容(器)具包裝衛生安全與標示100問。","","11 4 2015"
"食品","鋁箔包加熱會產生有毒物質嗎？","(1) 鋁箔包通常不是設計為可進行加熱的用途，由於鋁箔包內層的塑膠淋膜是塑膠材質，不當加熱即可能增加溶出風險，因此不建議加熱使用。 (2) 消費者如需加熱鋁箔包產品，建議將內容物倒出至適宜容器(如：陶瓷或玻璃材質容器具)再行加熱。","","11 4 2015"
"食品","鐵鍋比鋁鍋安全嗎？","普通鋁鍋由於有導熱快且輕便的特性，使用相當普及。有網路謠言指出鋁鍋在烹煮過程中容易溶出鋁離子，可能造成阿茲海默症。 (1) 「食品器具容器包裝衛生標準」對金屬材質（包括鋁）的食品容器具有規範其材質試驗標準（標準：鉛10%以下、銻5%以下），鋁鍋在正常使用範圍內，溶出鋁離子的機率及數量都相當低；況且目前沒有研究證據顯示鋁離子與阿茲海默症的關聯性，所以民眾在使用時不用過度擔心。選購時應多注意產品包裝標示及注意事項，如果鋁鍋表面出現刮傷，則建議更換新品；另外建議不要使用鋁鍋烹調酸性類食物，避免酸性類物質增加溶出鋁離子的機會。 (2) 傳統鐵鍋成分單純，比較沒有摻雜其他金屬，而且鐵鍋也須遵守「食品器具容器包裝衛生標準」對鐵材質的食品容器具之材質試驗標準（標準：鉛10%以下、銻5%以下），所以只要鐵鍋沒有生鏽，正常使用下並沒有安全疑慮，如果鐵鍋表面已經生鏽，則應該立即更換新品。 (3) 民眾在購買食品容器具時，應注意產品有無明確標示及注意事項，詳細閱讀說明書並正確使用，就不用過度擔心。參考資料：「食品器具容器包裝衛生標準」","","11 4 2015"
"食品","不鏽鋼材質的餐具有毒，是真的嗎?","網路上有傳出謠言使用不鏽鋼材質的餐具可能會釋出有毒重金屬「錳」，若人體吸收過量的錳，可能影響神經系統導致錳中毒，造成記憶及睡眠障礙、食慾不振、肌肉痙攣等症狀，甚至有罹患帕金森氏症的風險。 (1) 錳為人體必需的微量元素，可從穀類、豆類及堅果類等食物攝取，依世界衛生組織(World Health Organization；WHO)指出，成人每天應攝取2-3毫克的錳；不鏽鋼為一種合金鋼材，其主成分為鐵，其餘包含鎳、鉻、錳…等金屬，不同金屬比例製作出來的不鏽鋼編號不同，大致上可分為200、300、400系列，200系列因含錳成分高，防鏽效果差，因此很少作餐具用途，300系列則為多數不鏽鋼用品原料，主要用於餐具，400系列有磁性硬度佳，適用於不鏽鋼刀。依據「中華民國國家標準(CNS)」針對不鏽鋼材質之含錳量進行規範，較常使用於餐具的不鏽鋼304含錳量在整體不鏽鋼材中含量2 %以下。 (2) 由於不鏽鋼屬於耐熱及耐酸蝕之材質，盛裝食品而溶出有害物質的風險遠低於其他材質，所以正常使用情形下，不會因為冷熱溫度或酸鹼值而溶出有害物質。此外，與食品或食品添加物直接接觸之不鏽鋼食品器具容器及包裝，都應該要符合「食品安全衛生管理法」及「食品器具容器包裝衛生標準」的規定，不得有不良變色、異臭、異味、污染。一般而言，檢驗出危害物質的含量極低。依食藥署101年針對不同材質不鏽鋼錳的溶出試驗結果，錳溶出量相當低，甚至低於日常生活攝取錳的限量，所以民眾不必過度擔憂。 (3) 每種不鏽鋼的用途不同，業者產製各類食品容器具或包裝時，應確保產品符合「食品器具容器包裝衛生標準」，並應明確標示產品資訊。民眾購買食品容器具或包裝時，也應注意產品標示內容，依所標示材質之特性正確使用。如果不鏽鋼餐具表面出現嚴重凹凸不平、甚至積垢或生鏽等情形，建議應更換新品。 參考資料： 食藥署「不鏽鋼食品容器具Q&A」http://www.fda.gov.tw/upload/133/2014112011194170247.pdf 食藥署「標示清楚 鋼好使用」文宣品 http://www.fda.gov.tw/TC/PromotionalContent.aspx?id=223&chk=4164fdfc-5f41-4702-8596-435dd093b247&param=pn%3d2%26cid%3d0#.Vjgop1KheUk 國家環境毒物研究中心http://nehrc.nhri.org.tw/toxic/news.php?cat=news&id=76","","11 5 2015"
"食品","網路流傳「十大致癌食物黑名單」，請問是真的嗎？","(1) 由於國人健康意識的提升，對於食品安全相關議題更加重視，所以有關食品問題的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的恐慌。關於網路流傳「十大致癌食物黑名單」的訊息，內容沒有相關的資訊來源，而且也沒有相關科學論述依據，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信。 (2) 提醒民眾應該保持均衡飲食，養成健康的生活習慣，適當運動並維持理想體重，建立正確的營養攝取觀念，才能維持身體健康。","","11 13 2015"
"食品","黑糖含有丙烯醯胺，吃了會致癌？","解答： (1) 丙烯醯胺的產生，是由於食品中的胺基酸(主要是天門冬醯胺，asparagine)與還原醣在高溫加熱下作用產生梅納反應，因此產出副產物「丙烯醯胺」，此反應作用較常見於油炸或燒烤的澱粉類食品。一般而言，食品中以洋芋片、黑糖、杏仁果、油條及薯條等產品於加熱後的丙烯醯胺含量較高；咖啡在烘焙製備過程中亦會產生。而所產生的丙烯醯胺含量會隨食品成分的不同、加熱溫度及時間的差異等製程條件而有所變化。 (2) 丙烯醯胺目前無證據顯示會對人類致癌，但對動物有致癌性，因此被國際癌症研究機構(IARC)列為第2A類物質，所謂2A類物質是指該物質對試驗動物具致癌性，而流行病學的研究尚且不足以說明為人類的致癌物質。 (3) 目前國際食品法典委員會(Codex)、其他先進國家均未訂定食品中丙烯醯胺的限量標準。食藥署參考歐盟訂定食品中「丙烯醯胺」指標值，訂出薯條、洋芋片、麵包等食品的「丙烯醯胺」指標值，並考量民眾飲食習慣有別於歐美，特別列出「黑糖及油條」之丙烯醯胺指標值，供食品製作業者參考，以降低丙烯醯胺的含量。 (4) 食藥署建議消費者減少食用高溫油炸或烘焙的食品，盡量以清蒸、水煮的烹調方式，同時均衡攝取六大類食物，以降低及分散丙烯醯胺可能對人體健康的風險。 附表、食品中丙烯醯胺指標值* 管制項目/ 食品類別 丙烯醯胺(μg/kg, ppb) 薯條(即食) 600 洋芋片(以生馬鈴薯或馬鈴薯泥所製) 馬鈴薯製餅乾 1000 麵包類 小麥製麵包 其他非小麥製麵包 80 150 早餐穀類(不包括：粥) 麩皮產品與全麥穀類、膨發榖類產品 小麥與黑麥原料之產品(非全麥或含麩皮) 玉米、燕麥、斯佩耳特小麥(spelt)、大麥、米製產品 400 300 200 餅乾、威化餅乾、非馬鈴薯製餅乾 500 脆麥餅 450 薑餅 1000 烘焙咖啡 450 即溶咖啡 900 非穀類之嬰兒食品 50-80 嬰、幼兒餅乾及麵包乾 200 穀類之嬰、幼兒食品(不包括：餅乾及麵包乾) 50 黑糖** 1000 油條** 1000 *參照歐盟2013/647/EU之食品中丙烯醯胺指標值訂定。 **參照我國歷年監測資料訂定。 參考資料： 行政院食品安全資訊網http://www.ey.gov.tw/ofs/News_Content.aspx?n=10940662F2403E41&sms=4326217BEFADD6FB&s=CEB76399C852C682 食藥署「食品中丙烯醯胺指標值參考指引」 http://www.fda.gov.tw/TC/newsContent.aspx?id=19447&chk=704e7fcd-17f7-4582-adc6-05868ba082fe&param=pn&cid=4&cchk=f11420b2-cf8e-4d3a-beb5-66521b800453#.Vo4aelJumUk","","11 24 2015"
"化粧品","聽說塗抹漂白水可以漂白皮膚，這是真的嗎？","解答： 網路謠傳皮膚暗沉、膚色較黑或私密處顏色深時，可以塗抹漂白水來幫助美白，這是真的嗎？ (1)皮膚膚色與個人體質、日曬程度或皮膚老化造成表皮角質細胞及黑色素細胞增生等因素有關，坊間流傳「漂白水可以美白」的訊息，內容沒有相關的資訊來源，而且也沒有相關科學論述依據，且漂白水成分多為次氯酸鈣（Ca(ClO)2）、氯化次氯酸鈣（Ca(ClO)Cl）等成分，對肌膚具有較強刺激性，接觸到肌膚可能會產生燒灼感、發炎反應。因此，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信。 (2)食藥署提醒，胡亂參考偏方可能會造成皮膚過敏，導致刺激、紅腫、熱痛，更甚者可能導致發炎、色素沉澱等問題，應小心留意。","","04 24 2017"
"化粧品","過期化粧品看起來沒變質，繼續使用也沒關係嗎？","解答： (1)無論是彩粧品或保養品都有一定的保存期限，因此使用時應檢視化粧品的保存期限，如果不慎使用過期變質化粧品可能會傷害肌膚，建議化粧品開封後應儘速使用，如眼線液、睫毛膏、唇彩等建議開封後6個月內使用完畢；如乳液、沐浴乳、洗髮精等，則建議在開封後1年內使用完畢。 (2)此外化粧品應避免存放在陽光直射、潮溼等地點，使用時仔細觀察產品外觀是否出現變色、異味、結塊、異常分層等現象，若已過期或有異狀應停止使用。","","07 29 2015"
"醫療器材","隱形眼鏡戴過夜可能會造成失明，是真的嗎？","解答： (1)一般隱形眼鏡依材質可分為硬式及軟式兩大類，其中軟式隱形眼鏡可再分為水膠及矽水膠材質。在透氧率方面，硬式隱形眼鏡與矽水膠較高，水膠材質略低，兩者皆建議每日配戴不要超過8小時。 (2)長期戴隱形眼鏡過夜，會導致角膜上皮細胞缺氧而水腫，易脫落造成破皮，且角膜不具血管，白血球等抗發炎的細胞不易進入，因此若感染則易演變成角膜潰瘡，痊癒後依然會留下白色混濁的瘢痕，嚴重者甚至會導致失明。 (3)提醒民眾在配戴隱形眼鏡前應遵循眼科醫師指示，選擇具有醫療器材許可證之隱形眼鏡，向 領有藥商許可執照之廠商購買，並且確實依照產品說明書上所寫的正確配戴及保養方式， 便能妥善照顧「靈魂之窗」。","","07 29 2015"
"醫療器材","可以戴隱形眼鏡游泳嗎？","解答： (1)戴著隱形眼鏡從事水上活動，可能會引起感染、角膜潰瘍，甚至失明的情形。 (2)由於水中的微生物可能會吸附在鏡片上，刺激眼角膜，若角膜本身有缺損，更可能引起角膜感染。例如在湖泊、河川中都可發現蹤跡的棘阿米巴原蟲(Acanthamoeba)，其所引起的棘阿米巴角膜炎（Acanthamoeba keratitis），病人除了會有異物感、畏光、流淚、紅腫等症狀，甚至會造成永久性的視力損失。因此最好避免戴隱形眼鏡從事水上活動。","","07 29 2015"
"食品","九層塔含有黃樟素會導致肝癌？","解答： (1) 網路流傳九層塔含有一種Eugenol成分(中文叫黃樟素)，會導致肝癌的說法，但事實為九層塔內確實含有少量Eugenol成分，不過正確中文翻譯為「丁香酚」，而非「黃樟素」，其英文名稱為Safrole。 (2) 此外，九層塔中雖然含有丁香酚，但其毒性低，可以快速在血液及其他組織中代謝，根據2006年世界衛生組織食品添加物聯合專家委員會公布，丁香酚一天攝取容許量(ADI)值為2.5毫克/公斤，若以60公斤重的成人計算，每人每天的安全攝取量為150毫克。因此只有在大劑量攝入丁香酚時才可能對生物體產生一些健康危害，目前也尚未有九層塔致癌的研究文獻報告，請大家勿聽信網路謠言，並拒絕轉傳。","","05 28 2015"
"食品","維生素C+蝦併用會產生砒霜？","解答： (1)衛福部就本謠言曾洽請台北榮民總醫院毒藥物諮詢中心查詢相關文獻，結果顯示並無發現任何有關維生素C引起蝦類中毒的醫學報告。此外，該中心亦表示，甲殼類如蝦、蟹、龍蝦及貝類(如蛤、牡蠣)中雖含有砷，但9成以上以有機砷的形式存在，且有機砷可以很快排出體外，幾乎沒有毒性。另至於無機砷（包括三價砷及五價砷）則確實有毒，若保守估計無機砷含量為海鮮含砷量的十分之一，而蝦含量以4 ppm來計算，則達到最低可能致死劑量20毫克，必須吃下50公斤的蝦。 (2)在學理上，純化的維生素C與五價砷，如在實驗室環境加以化學催化作用，或有可能使原來無毒的五價砷轉變為三價砷（俗稱的砒霜）。然而餐點中所食用之檸檬及蝦，其分別所含之維生素C與五價砷含量甚低，且又無化學催化劑及適當之反應條件，實際並沒有產生砒霜的疑慮，請民眾不要擔心","","05 28 2015"
"藥品","有人說吃一顆普拿疼會在體內殘留五年？","解答： (1)普拿疼的主要成分為乙醯胺酚(Acetaminophen)，作用為解熱鎮痛，常用於輕、中度疼痛的止痛及退燒用途，也是經衛福部核准的藥品。 (2)每種藥物經過人體吸收、代謝速率以及半衰期皆有不同，以乙醯胺酚為例，在健康成人體內的半衰期約2個小時，也就是說一般而言服藥後8到10個小時就可完全排出體外，所以並不會出現體內殘留5年的情形。","","05 28 2015"
"藥品","避孕藥磨粉洗頭助長髮？","解答： (1)台北長庚醫院植髮中心主任陳建勳說，這只是一種「想當然耳」的DIY秘方，原理應是想利用避孕藥中的雌性荷爾蒙，來對抗使人禿頭的雄性荷爾蒙。但此招數除未經試驗證明外，另一大問題是任何藥物用於皮膚，若想藥效滲透到皮下，至少得停留在表皮20分鐘，而一般人洗頭根本不可能洗到20分鐘，也等於宣告此傳言無效。 參考出處：http://www.appledaily.com.tw/realtimenews/article/new/20141230/533013/ (2)口服避孕藥為處方藥，應由合格醫師診斷、評估症狀後開立處方，並確認是否有不適合使用該藥物的禁忌症，之後再經過藥師確認處方、調劑、覆核後，才能交給患者使用。自行至藥局購買使用不但無法確保用藥安全，也不符合「正當使用」的條件，倘因此而發生藥物不良反應，更無法給予藥害救濟。 (3)有關洗髮精或化粧品含雌激素類成分，請參考本署104年5月24日本署新聞”我國化粧品添加雌激素類成分之管理規定”。 相關閱讀：http://ppt.cc/ouCSE (4)若有民眾有落髮、掉髮困擾，建議先由專業醫師進行診斷，切勿聽信偏方謠言，也為自己的健康把關","","05 28 2015"
"醫療器材","坊間流傳電療器材可以治百病，是真的嗎？","解答： (1)目前食藥署針對電位治療器核准之適應症範圍僅有「緩解肩膀僵硬、頭痛及慢性便秘」。 (2)若有產品宣稱可治療上述以外之適應症，則須請廠商出示刊載食藥署核准適應症之中文仿單證明，否則廠商可能違反藥事法相關規定。 (3)更多合法醫材許可證可至食藥署網站查詢：http://bit.ly/1OfFJOJ","","07 29 2015"
"食品","可樂會殺精，是真的嗎？","解答： (1) 網路上流傳「可樂可以殺精？」的謠言，經查此則謠言在1950年代的中南美洲便開始流傳，據說該時期的婦女會以可樂沖洗陰道，可殺死精子以達到避孕的目的。為了證實這項謠言，國內心臟內科洪傳岳醫師等四人於1987年進行首創的「過膜游動法」實驗，實驗方式是將混有精子的可樂，滴在可容許精子穿過的薄膜上，薄膜下則放了食鹽水，2小時後再觀察食鹽水內的精子量，結果發現7到9成的精子都成功穿過薄膜，而到達食鹽水內，並沒有被可樂殺死，精子的活動力依舊，由此證明可樂並無殺精功能。 (2) 另外，目前亦無研究證實「飲用可樂會造成男性精子減少」的說法。 參考資料： 1. 洪教授的論文 The Spermicidal Potency of Coca-Cola and Pepsi-Cola,＂ C.Y. Hong, C.C. Shieh, P. Wu, and B.N. Chiang, Human Toxicology, vol. 6, no. 5, September 1987, pp. 395-6.","","07 31 2015"
"食品","聽說服用排油丸可以切除油脂與澱粉，幫助減肥，這是真的嗎？","解答： 聽說服用排油丸可以燃燒脂肪與切除澱粉，幫助瘦身減肥，這是真的嗎？ (1) 關於坊間流傳「排油瘦身丸可以幫助減肥」的訊息，內容沒有相關的資訊來源，且亦可能是國外擅自輸入之產品，如含有偽藥、禁藥等成分，恐怕會對身體健康造成傷害，同時亦讓消費者花費無謂的金錢。另外食品不是藥品，不具有治療、減輕或預防疾病的效果。對於這種來路不明卻標榜神奇療效的產品，應該抱持小心謹慎的態度，不要隨便輕易相信。 (2) 食藥署提醒，民眾應該保持均衡飲食，養成健康的生活習慣，適當運動並維持理想體重，建立正確的營養攝取觀念，才能維持身體健康。如有身體不適，應適時就醫並遵醫囑治療，勿聽信偏方而延誤就醫時機。","","11 27 2017"
"食品","紙杯比塑膠杯安全嗎？","解答： (1)紙杯產品之衛生安全，應符合「食品器具容器包裝衛生標準」中「紙類」之相關規定，一般市售紙製餐具為防水或防油目的，可能於內層塗布食用蠟或使用「塑膠淋膜」，使用塑膠淋膜者，其溶出試驗規定則依其使用之塑膠材質分別適用之。由於雙酚A為聚碳酸酯(PC)之單體原料，但聚碳酸酯並非一般「塑膠淋膜」所使用之材質。 (2)我國為保障嬰幼兒之健康，業已明定嬰兒奶瓶不得使用含雙酚A之塑膠材質，且針對聚碳酸酯材質亦訂有雙酚A之溶出限量規定，與歐盟等先進國家之管理制度相同。 (3)市售紙杯如經淋膜處理，其材質多為PE，並不含雙酚A；雙酚A常作為製造PC及環氧樹脂之原料。","","05 13 2015"
"食品","廉價紅茶味道芳香的秘密全都來自於噴灑小蜜蜂茶精？","解答: (1)依據食品安全衛生管理法之規定，訂有「食品添加物使用範圍及限量暨規格標準」，規範食品添加物之品名、規格及其使用範圍、限量標準，該標準係為正面表列，僅表列之食品類別得依限量規定合法添加使用，非表列之品項及未准許使用之食品範圍，則不得使用。 (2)我國對於香料之管理，係參考國際規範，香料單體成份若為聯合國糧農組織及世界衛生組織共同之食品添加物專家委員會(JECFA)、美國食品香料與萃取物製造協會(FEMA)、歐盟、日本等國際規範准用之香料，則為我國准用之香料化學單體項目，且其添加於食品中時，僅限用為香料並得視實際需要適量使用，以可達香料用途之添加量為宜；而天然香料則係指由可供食品使用之蔬菜、水果、動植物體等原料中，萃取製成之香料成分，非人為化學合成者，則屬一般可使用的成分，可賦予食品香氣。 (3)有關此篇謠言，業者產製茶飲料時使用之茶精，如為我國准用之香料品項，尚無違反食品安全衛生管理法之規定，惟應以最少量可達用途之添加量為宜。","","05 13 2015"
"食品","黑木耳常吃有害健康？","解答： (1)木耳(學名Auricularia polytricha)含有多種營養成分，為中國自古常用之營養食品。然食用過量的木耳是否會造成凝血方面的問題，目前僅有個案研究，並沒有任何臨床醫 學報告或科學研究證實，且國內並未有類似案例。 (2)目前世界各國無限制或禁止食用木耳，民眾對於此類誇大或未經證實之內容，應該要抱持懷疑的態度，切莫隨意聽信。維持正常生活作息、保持運動習慣及適量攝取均衡飲食，才是永保健康的不二法門。","","05 13 2015"
"食品","食用色素真的會致癌嗎？","解答： 聽說食品中如果含有食用色素，吃多了會致癌，這是真的嗎？ (1) 食用色素可分為天然色素及人工合成色素，可以增添食物之外觀。食用色素必須經過審慎評估，訂定適當使用規範，產品在規定的使用劑量內，應不會危害健康。 (2) 食藥署除定期抽驗食品中的食用色素外，同時關注國際間對食用色素的研究及使用規範。 參考資料： 財團法人中華飲食文化基金會 http://ryoritaiwan.fcdc.org.tw/article.aspx?websn=6&id=776 Natural News中文網報導 http://cht.naturalnews.com/chtbuzz_buzz001838.html","","03 1 2017"
"食品","咖啡的杯蓋會釋出致癌的苯化合物，是真的嗎？","解答︰ (1)塑膠之毒性與塑膠的種類與溶出量有關，咖啡所使用之塑膠杯蓋因會與食品直接接觸，故應符合「食用器具容器包裝衛生標準」中之「一般規定」及「塑膠類」有關規定（包括材質及各項溶出試驗等）等，才可供作食品接觸用途。 (2)過去咖啡杯蓋的材質常見使用聚苯乙烯(Polystyrene；PS)塑膠，衛生福利部「食品器具容器包裝衛生標準」針對該材質並已訂有其材質及溶出試驗相關規定，以確保其衛生安全。近年因PS之苯乙烯單體受到關注，市面咖啡杯蓋之材質已逐漸改用聚丙烯(Polypropylene；PP)等材質，亦應符合衛生標準相關規定，消費者於正常使用下，尚無衛生安全疑慮。 延伸閱讀︰ 食品器具容器包裝衛生標準 https://consumer.fda.gov.tw/Law/Detail.aspx?nodeID=518&lawid=107&k=%u98DF%u54C1%u5668%u5177%u5BB9%u5668%u5305%u88DD%u885B%u751F%u6A19%u6E96","","03 6 2017"
"食品","Line流傳「多數人吃的油是化學油!」，這是真的嗎？","解答： Line流傳「多數人吃的油是化學油!」，這是真的嗎？ 1. 食用油脂是從含油量較高的動物或植物組織中，經過加工程序煉製而成，以確保油脂在貯藏期間使用之穩定性及安定性，食用油脂並非以化學合成，國際亦無將經由精製而成之油稱為化學油。 2. 一般食用油脂的製作必需經過「油脂抽取」及「油脂精製」兩部分。 (1) 油脂抽取：一般食用植物油之抽取方法有兩種，一為壓榨法，一為萃取法。壓榨法是將原料經精選、清洗、浸潤、去皮、破碎、加熱後，以壓榨機直接壓榨使油脂流出；萃取法則是將原料組織破碎壓成片狀，蒸煮加熱後，再以熱的溶劑進行批式或連續式的萃取，該萃取法之效率較高，萃取油脂較為完整，依法可作為油脂萃取之溶劑為己烷，溶劑溶出油脂後再以加熱揮發、去除溶劑。食藥署已訂有「加工助劑衛生標準」，規範食用油脂萃取用途之溶劑及其殘留量。凡符合食安法及其相關規定產製之油脂，即可安心食用。 (2) 油脂精製：僅經過壓榨或萃取流程所取得的粗製油脂，外觀會較混濁，色澤會較深，也會有特定或不良氣味、口感及品質不佳等問題。油脂中所含的懸浮物、不純物、游離脂肪酸、色素及不良氣味的醛、酮等會加速油脂氧化反應使油脂劣變產生油耗味，使品質不佳。為減少前述問題，油脂會經過精製或稱為精煉(refining)、脫色(bleaching)、脫臭(deodorization)等步驟，以增加食用油脂安定性及保存性。另外，市售產品也會添加維生素E防止油脂氧化。 3. 提醒您，購買食用油脂時，應考量油脂食用量適量購買，並避免長時間暴露於高溫環境下，空氣中的氧氣、水分及光線都可能導致油脂氧化，應注意貯藏條件，儘早食用。 參考資料： 1.本署網站「黑心油品事件專區」有許多可延伸閱讀或參考之資訊。 http://www.fda.gov.tw/TC/site.aspx?sid=4093 2.油炸油安全管理簡易手冊 http://www.fda.gov.tw/TC/publicationsContent.aspx?id=29&chk=dcf6b195-0fcf-4105-8f27-b9bbcf406a8c&param=pn%3d7#.WL_AG0m7qzk","","03 10 2017"
"食品","聽說用椰子油代替眼藥水滴到眼睛上，可以治療眼睛敏感，這是真的嗎？","解答： 聽說用椰子油代替眼藥水滴到眼睛上，可以治療眼睛敏感，視力會漸入佳境，這是真的嗎？ (1) 由於國人健康意識的提升，對於保健相關議題更加重視，所以有關食品藥品問題的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的恐慌。關於坊間流傳「椰子油治眼睛敏感」的訊息，內容沒有相關的資訊來源，而且也沒有相關科學論述依據，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信。 (2) 食藥署提醒，民眾如有身體不適，應適時就醫並遵醫囑治療，勿聽信偏方而延誤就醫時機。","","05 23 2017"
